First Name,Last Name,Seniority,City,State,Address,Dining Interests,Email,Phone
Lynette,Carl,Director,Durham,North Carolina,"1 Seaport Lane, Boston, Massachusetts, United States, 02210","Fine Dining, Pubs, Coffee Shops",test@test.com,+1 919-490-0967
Flemming,Jones,Vp,Los Angeles,California,"4480 Highway 22, Mandeville, Louisiana, United States, 70471-3311","Pubs, Fine Dining, Take Out",test@test.com,+1 919-490-0968
Jenifer,Howe,Director,Phoenix,Arizona,"1510 16th St, Sacramento, California, United States, 95814","Fine Dining, Pubs, Take Out",test@test.com,+1 919-490-0969
Margaret,Renzi,Director,New Orleans,Louisiana,"11380 Lindbergh Blvd, Fort Myers, Florida, United States, 33913","Fine Dining, Pubs, Coffee Shops",test@test.com,+1 919-490-0970
Lauri,Biggs,Director,Boston,Massachusetts,"3138 Fillmore St, San Francisco, California, United States, 94123","Pubs, Fine Dining, Take Out",test@test.com,+1 919-490-0971
Nicholas,Brown,Vp,Mandeville,Louisiana,"2190 Pimmit Dr, Falls Church, Virginia, United States, 22043-2805","Fine Dining, Pubs, Take Out",test@test.com,+1 919-490-0972
Sean,Ward,C suite,Sacramento,California,"20 Vail Rd, Vail, Colorado, United States, 81657","Fine Dining, Pubs, Coffee Shops",test@test.com,+1 919-490-0973
Racheal,Miller,Head,Fort Myers,Florida,"111 W Mulberry St, Denton, Texas, United States, 76201","Pubs, Fine Dining, Take Out",test@test.com,+1 919-490-0974
McKenzie,Cofelice,Vp,San Francisco,California,"NE 45th St, Seattle, Washington, United States, 98195","Fine Dining, Pubs, Take Out",test@test.com,+1 919-490-0975
Keith,Shirley,Director,Falls Church,Virginia,"1220 16th St, Miami Beach, Florida, United States, 33139-2309","Fine Dining, Pubs, Coffee Shops",test@test.com,+1 919-490-0976
Chris,Gustafsson,Director,Vail,Colorado,"1877 North Rock Road, Wichita, Kansas, United States, 67206","Pubs, Fine Dining, Take Out",test@test.com,+1 919-490-0977
Phil,Martin,Owner,Denton,Texas,"10 West Hubbard Street, Chicago, Illinois, United States, 60654","Fine Dining, Pubs, Take Out",test@test.com,+1 919-490-0978
Sigurd,Deporter,Director,Seattle,Washington,"463 N University Ave, Provo, Utah, United States, 84601","Fine Dining, Pubs, Coffee Shops",test@test.com,+1 919-490-0979
Amanda,Shah,Director,Miami Beach,Florida,"4000 Mountain Rd, Stowe, Vermont, United States, 05672-4801","Pubs, Fine Dining, Take Out",test@test.com,+1 919-490-0980
Micah,Bailey,C suite,Wichita,Kansas,"33 W Kinzie St, Chicago, Illinois, United States, 60654","Fine Dining, Pubs, Take Out",test@test.com,+1 919-490-0981
Alexios,Chander,Vp,Chicago,Illinois,"59 Morris St, Morristown, New Jersey, United States, 07960-4103","Fine Dining, Pubs, Coffee Shops",test@test.com,+1 919-490-0982
